manufacturer,Flight_Date,arr_delay,carrier,tailnum,origin
EMBRAER,1/1/2013,23,B6,N216JB,JFK
EMBRAER,1/1/2013,28,B6,N228JB,JFK
AIRBUS,1/1/2013,-26,B6,N547JB,JFK
"AIRBUS INDUSTRIE",1/1/2013,73,B6,N516JB,JFK
"BARKER JACK L",1/1/2013,49,B6,N531JB,JFK
EMBRAER,1/1/2013,-16,B6,N279JB,JFK
"AIRBUS INDUSTRIE",1/1/2013,-7,B6,N521JB,JFK
EMBRAER,1/1/2013,23,B6,N281JB,JFK
EMBRAER,1/1/2013,35,B6,N178JB,JFK
AIRBUS,1/1/2013,73,B6,N594JB,JFK
AIRBUS,1/1/2013,-20,B6,N591JB,JFK
AIRBUS,1/1/2013,-12,B6,N588JB,JFK
AIRBUS,1/1/2013,NULL,B6,N618JB,JFK
AIRBUS,1/2/2013,36,B6,N580JB,JFK
CESSNA,1/2/2013,-19,AA,N621AA,JFK
BOEING,1/2/2013,-15,UA,N505UA,JFK
"AIRBUS INDUSTRIE",1/2/2013,0,B6,N529JB,JFK
BOEING,1/2/2013,1,DL,N387DA,JFK
BOEING,1/2/2013,44,UA,N19141,JFK
AIRBUS,1/2/2013,-6,US,N545UW,JFK
BOEING,1/2/2013,-39,DL,N374DA,JFK
EMBRAER,1/2/2013,26,B6,N236JB,JFK
AIRBUS,1/2/2013,-8,B6,N583JB,JFK
BOEING,1/2/2013,-25,UA,N517UA,JFK
BOEING,1/2/2013,-45,DL,N3768,JFK
AIRBUS,1/2/2013,0,B6,N559JB,JFK
"AIRBUS INDUSTRIE",1/2/2013,24,B6,N506JB,JFK
EMBRAER,1/2/2013,4,B6,N337JB,JFK
BOEING,1/2/2013,-9,AA,N325AA,JFK
"CIRRUS DESIGN CORP",1/2/2013,-3,B6,N508JB,JFK
"AIRBUS INDUSTRIE",1/2/2013,-18,B6,N509JB,JFK
"AIRBUS INDUSTRIE",1/2/2013,4,DL,N322US,JFK
EMBRAER,1/2/2013,2,B6,N304JB,JFK
BOEING,1/2/2013,-5,DL,N305DQ,JFK
EMBRAER,1/2/2013,39,B6,N339JB,JFK
AIRBUS,1/2/2013,1,B6,N586JB,JFK
BOEING,1/2/2013,24,DL,N3743H,JFK
EMBRAER,1/2/2013,12,B6,N279JB,JFK
EMBRAER,1/2/2013,9,B6,N281JB,JFK
BOEING,1/2/2013,21,UA,N554UA,JFK
EMBRAER,1/2/2013,12,B6,N228JB,JFK
BOEING,1/2/2013,5,AA,N336AA,JFK
EMBRAER,1/2/2013,-1,B6,N178JB,JFK
"AIRBUS INDUSTRIE",1/2/2013,21,B6,N505JB,JFK
AIRBUS,1/2/2013,-5,HA,N380HA,JFK
EMBRAER,1/2/2013,16,B6,N306JB,JFK
AIRBUS,1/2/2013,-1,B6,N558JB,JFK
EMBRAER,1/2/2013,16,B6,N239JB,JFK
EMBRAER,1/2/2013,62,B6,N184JB,JFK
"AIRBUS INDUSTRIE",1/2/2013,23,B6,N516JB,JFK
EMBRAER,1/2/2013,-6,B6,N353JB,JFK
BOEING,1/2/2013,-17,DL,N3758Y,JFK
AIRBUS,1/2/2013,14,US,N547UW,JFK
AIRBUS,1/2/2013,-11,B6,N621JB,JFK
BOEING,1/2/2013,7,AA,N328AA,JFK
AIRBUS,1/2/2013,98,B6,N591JB,JFK
BOEING,1/2/2013,-30,UA,N557UA,JFK
EMBRAER,1/2/2013,-6,B6,N267JB,JFK
BOEING,1/2/2013,-32,UA,N510UA,JFK
"AIRBUS INDUSTRIE",1/2/2013,24,B6,N506JB,JFK
EMBRAER,1/2/2013,15,B6,N192JB,JFK
BOEING,1/2/2013,1,AA,N319AA,JFK
EMBRAER,1/2/2013,-13,B6,N203JB,JFK
EMBRAER,1/2/2013,6,B6,N304JB,JFK
BOEING,1/2/2013,-55,DL,N3751B,JFK
"AIRBUS INDUSTRIE",1/2/2013,7,B6,N529JB,JFK
EMBRAER,1/2/2013,-6,B6,N306JB,JFK
"AIRBUS INDUSTRIE",1/2/2013,-13,DL,N324US,JFK
EMBRAER,1/2/2013,45,B6,N339JB,JFK
EMBRAER,1/2/2013,3,B6,N353JB,JFK
BOEING,1/2/2013,-17,AA,N332AA,JFK
AIRBUS,1/2/2013,25,B6,N563JB,JFK
EMBRAER,1/2/2013,6,B6,N239JB,JFK
"AIRBUS INDUSTRIE",1/2/2013,-10,DL,N319NB,JFK
BOEING,1/2/2013,-27,UA,N518UA,JFK
EMBRAER,1/2/2013,0,B6,N281JB,JFK
"AIRBUS INDUSTRIE",1/2/2013,-1,DL,N320NB,JFK
"CIRRUS DESIGN CORP",1/2/2013,-6,B6,N508JB,JFK
EMBRAER,1/2/2013,3,B6,N279JB,JFK
EMBRAER,1/2/2013,23,B6,N236JB,JFK
EMBRAER,1/2/2013,-17,B6,N178JB,JFK
"AIRBUS INDUSTRIE",1/2/2013,-1,B6,N524JB,JFK
"GULFSTREAM AEROSPACE",1/2/2013,-11,AA,N344AA,JFK
EMBRAER,1/2/2013,59,B6,N267JB,JFK
BOEING,1/2/2013,-1,DL,N385DN,JFK
AIRBUS,1/2/2013,8,B6,N618JB,JFK
"BOMBARDIER INC",1/2/2013,0,9E,N601LR,JFK
EMBRAER,1/2/2013,45,B6,N228JB,JFK
BOEING,1/2/2013,-8,DL,N3764D,JFK
BOEING,1/2/2013,-29,DL,N371DA,JFK
BOEING,1/2/2013,-29,DL,N375DA,JFK
EMBRAER,1/2/2013,20,B6,N273JB,JFK
BOEING,1/2/2013,368,AA,N324AA,JFK
AIRBUS,1/2/2013,14,B6,N607JB,JFK
"BOMBARDIER INC",1/2/2013,-5,9E,N600LR,JFK
BOEING,1/2/2013,-28,DL,N3745B,JFK
"AIRBUS INDUSTRIE",1/2/2013,6,DL,N331NW,JFK
"AIRBUS INDUSTRIE",1/2/2013,-18,DL,N322US,JFK
EMBRAER,1/2/2013,-3,B6,N324JB,JFK
EMBRAER,1/2/2013,-2,B6,N304JB,JFK
AIRBUS,1/2/2013,-12,DL,N366NB,JFK
"AIRBUS INDUSTRIE",1/2/2013,25,B6,N516JB,JFK
AIRBUS,1/2/2013,22,B6,N559JB,JFK
AIRBUS,1/2/2013,-18,B6,N556JB,JFK
BOEING,1/2/2013,28,AA,N338AA,JFK
BOEING,1/2/2013,-18,AA,N371AA,JFK
BOEING,1/2/2013,-21,UA,N502UA,JFK
"AIRBUS INDUSTRIE",1/2/2013,-2,B6,N519JB,JFK
BOEING,1/2/2013,-44,DL,N3754A,JFK
BOEING,1/2/2013,-44,DL,N3760C,JFK
AIRBUS,1/2/2013,-5,B6,N569JB,JFK
BOEING,1/2/2013,-32,UA,N512UA,JFK
EMBRAER,1/2/2013,-13,B6,N206JB,JFK
EMBRAER,1/2/2013,-5,B6,N239JB,JFK
EMBRAER,1/2/2013,38,B6,N339JB,JFK
BOEING,1/2/2013,-9,AA,N323AA,JFK
AIRBUS,1/2/2013,-13,B6,N597JB,JFK
EMBRAER,1/2/2013,-10,B6,N337JB,JFK
AIRBUS,1/2/2013,107,US,N510UW,JFK
AIRBUS,1/2/2013,-26,DL,N346NB,JFK
BOEING,1/2/2013,14,DL,N613DL,JFK
AIRBUS,1/2/2013,44,US,N552UW,JFK
"AIRBUS INDUSTRIE",1/2/2013,-31,DL,N319NB,JFK
BOEING,1/2/2013,10,UA,N508UA,JFK
BOEING,1/2/2013,-16,DL,N178DZ,JFK
AIRBUS,1/2/2013,-1,B6,N552JB,JFK
EMBRAER,1/2/2013,28,B6,N184JB,JFK
BOEING,1/2/2013,-24,DL,N3752,JFK
"AIRBUS INDUSTRIE",1/2/2013,-11,DL,N320NB,JFK
BOEING,1/2/2013,-9,AA,N339AA,JFK
"AIRBUS INDUSTRIE",1/2/2013,-14,B6,N506JB,JFK
"BOMBARDIER INC",1/2/2013,32,9E,N602LR,JFK
BOEING,1/2/2013,-4,DL,N3750D,JFK
AIRBUS,1/2/2013,-33,B6,N568JB,JFK
"AIRBUS INDUSTRIE",1/2/2013,-36,B6,N534JB,JFK
EMBRAER,1/2/2013,7,B6,N353JB,JFK
"BOMBARDIER INC",1/2/2013,15,9E,N605LR,JFK
"AIRBUS INDUSTRIE",1/2/2013,15,B6,N529JB,JFK
BOEING,1/2/2013,-18,DL,N389DA,JFK
EMBRAER,1/2/2013,32,B6,N192JB,JFK
EMBRAER,1/2/2013,11,B6,N273JB,JFK
EMBRAER,1/2/2013,4,B6,N203JB,JFK
AIRBUS,1/2/2013,-30,B6,N583JB,JFK
BOEING,1/2/2013,-31,DL,N3743H,JFK
AIRBUS,1/2/2013,-9,B6,N599JB,JFK
"AIRBUS INDUSTRIE",1/2/2013,10,B6,N535JB,JFK
EMBRAER,1/2/2013,-16,B6,N284JB,JFK
EMBRAER,1/2/2013,-10,B6,N304JB,JFK
"AIRBUS INDUSTRIE",1/2/2013,-5,B6,N519JB,JFK
EMBRAER,1/2/2013,-4,B6,N239JB,JFK
AIRBUS,1/2/2013,21,B6,N606JB,JFK
EMBRAER,1/2/2013,-17,B6,N198JB,JFK
EMBRAER,1/2/2013,-15,B6,N184JB,JFK
EMBRAER,1/2/2013,61,B6,N283JB,JFK
EMBRAER,1/3/2013,172,B6,N329JB,JFK
AIRBUS,1/3/2013,143,B6,N618JB,JFK
BOEING,1/3/2013,-15,AA,N618AA,JFK
AIRBUS,1/3/2013,-3,B6,N552JB,JFK
AIRBUS,1/3/2013,-5,B6,N595JB,JFK
BOEING,1/3/2013,-33,UA,N517UA,JFK
AIRBUS,1/3/2013,32,B6,N536JB,JFK
BOEING,1/3/2013,-3,UA,N18119,JFK
AIRBUS,1/3/2013,-31,US,N520UW,JFK
BOEING,1/3/2013,-38,DL,N3764D,JFK
"AIRBUS INDUSTRIE",1/3/2013,-10,B6,N523JB,JFK
EMBRAER,1/3/2013,33,B6,N296JB,JFK
AIRBUS,1/3/2013,-2,B6,N588JB,JFK
EMBRAER,1/3/2013,7,B6,N281JB,JFK
BOEING,1/3/2013,-46,AA,N336AA,JFK
"BARKER JACK L",1/3/2013,3,B6,N531JB,JFK
BOEING,1/3/2013,-36,AA,N324AA,JFK
"AIRBUS INDUSTRIE",1/3/2013,-35,B6,N524JB,JFK
"AIRBUS INDUSTRIE",1/3/2013,-15,DL,N326US,JFK
BOEING,1/3/2013,-10,UA,N554UA,JFK
AIRBUS,1/3/2013,-4,B6,N558JB,JFK
BOEING,1/3/2013,-3,DL,N307DQ,JFK
EMBRAER,1/3/2013,5,B6,N206JB,JFK
"AIRBUS INDUSTRIE",1/3/2013,11,DL,N319NB,JFK
BOEING,1/3/2013,-8,DL,N396DA,JFK
AIRBUS,1/3/2013,11,US,N601AW,JFK
BOEING,1/3/2013,-25,UA,N512UA,JFK
EMBRAER,1/3/2013,-5,B6,N279JB,JFK
EMBRAER,1/3/2013,8,B6,N184JB,JFK
AIRBUS,1/3/2013,-15,B6,N585JB,JFK
EMBRAER,1/3/2013,2,B6,N324JB,JFK
BOEING,1/3/2013,-36,AA,N327AA,JFK
BOEING,1/3/2013,-20,AA,N612AA,JFK
EMBRAER,1/3/2013,-11,B6,N294JB,JFK
EMBRAER,1/3/2013,23,B6,N203JB,JFK
EMBRAER,1/3/2013,-3,B6,N198JB,JFK
AIRBUS,1/3/2013,-19,B6,N615JB,JFK
AIRBUS,1/3/2013,-26,HA,N380HA,JFK
EMBRAER,1/3/2013,83,B6,N283JB,JFK
EMBRAER,1/3/2013,0,B6,N178JB,JFK
AIRBUS,1/3/2013,-14,B6,N607JB,JFK
AIRBUS,1/3/2013,48,B6,N579JB,JFK
AIRBUS,1/3/2013,-9,US,N545UW,JFK
BOEING,1/3/2013,-48,DL,N375DA,JFK
EMBRAER,1/3/2013,4,B6,N267JB,JFK
BOEING,1/3/2013,-28,AA,N323AA,JFK
BOEING,1/3/2013,-43,AA,N339AA,JFK
AIRBUS,1/3/2013,16,B6,N612JB,JFK
BOEING,1/3/2013,-34,DL,N3752,JFK
BOEING,1/3/2013,-18,UA,N555UA,JFK
BOEING,1/3/2013,-17,DL,N3756,JFK
AIRBUS,1/3/2013,-43,VX,N621VA,JFK
BOEING,1/3/2013,-48,UA,N510UA,JFK
"AIRBUS INDUSTRIE",1/3/2013,23,B6,N521JB,JFK
AIRBUS,1/3/2013,25,B6,N594JB,JFK
BOEING,1/3/2013,-24,AA,N328AA,JFK
EMBRAER,1/3/2013,20,B6,N273JB,JFK
"BARKER JACK L",1/3/2013,45,B6,N531JB,JFK
EMBRAER,1/3/2013,3,B6,N206JB,JFK
BOEING,1/3/2013,-63,DL,N389DA,JFK
"BOMBARDIER INC",1/3/2013,-20,9E,N602XJ,JFK
EMBRAER,1/3/2013,-17,B6,N294JB,JFK
EMBRAER,1/3/2013,12,B6,N192JB,JFK
EMBRAER,1/3/2013,67,B6,N198JB,JFK
AIRBUS,1/3/2013,-31,B6,N595JB,JFK
AIRBUS,1/3/2013,-41,B6,N552JB,JFK
BOEING,1/3/2013,-13,AA,N325AA,JFK
EMBRAER,1/3/2013,-20,B6,N178JB,JFK
AIRBUS,1/3/2013,28,B6,N536JB,JFK
AIRBUS,1/3/2013,-10,B6,N607JB,JFK
EMBRAER,1/3/2013,-19,B6,N184JB,JFK
BOEING,1/3/2013,-43,UA,N508UA,JFK
EMBRAER,1/3/2013,12,B6,N279JB,JFK
EMBRAER,1/3/2013,79,B6,N267JB,JFK
EMBRAER,1/3/2013,-9,B6,N283JB,JFK
EMBRAER,1/3/2013,16,B6,N296JB,JFK
"AIRBUS INDUSTRIE",1/3/2013,25,B6,N516JB,JFK
AIRBUS,1/3/2013,11,B6,N584JB,JFK
AIRBUS,1/3/2013,2,B6,N594JB,JFK
BOEING,1/3/2013,-19,AA,N319AA,JFK
EMBRAER,1/3/2013,-23,B6,N324JB,JFK
BOEING,1/3/2013,-15,UA,N12116,JFK
AIRBUS,1/3/2013,-4,B6,N583JB,JFK
EMBRAER,1/3/2013,58,B6,N249JB,JFK
"AIRBUS INDUSTRIE",1/3/2013,4,DL,N374NW,JFK
AIRBUS,1/3/2013,-18,DL,N366NB,JFK
BOEING,1/3/2013,-27,DL,N3743H,JFK
BOEING,1/3/2013,5,DL,N3767,JFK
BOEING,1/3/2013,25,DL,N3748Y,JFK
BOEING,1/3/2013,-61,DL,N3740C,JFK
EMBRAER,1/3/2013,18,B6,N329JB,JFK
AIRBUS,1/3/2013,-33,US,N552UW,JFK
BOEING,1/3/2013,175,DL,N392DA,JFK
"BOMBARDIER INC",1/3/2013,2,9E,N605LR,JFK
EMBRAER,1/3/2013,-3,B6,N206JB,JFK
"AIRBUS INDUSTRIE",1/3/2013,-13,DL,N336NB,JFK
AIRBUS,1/3/2013,-47,B6,N603JB,JFK
EMBRAER,1/3/2013,-22,B6,N192JB,JFK
BOEING,1/3/2013,-23,DL,N3753,JFK
AIRBUS,1/3/2013,-23,B6,N588JB,JFK
AIRBUS,1/3/2013,16,B6,N579JB,JFK
BOEING,1/3/2013,-49,DL,N3745B,JFK
"AIRBUS INDUSTRIE",1/3/2013,-1,B6,N535JB,JFK
BOEING,1/3/2013,-26,UA,N518UA,JFK
BOEING,1/3/2013,-7,DL,N399DA,JFK
AIRBUS,1/3/2013,6,B6,N599JB,JFK
EMBRAER,1/3/2013,-17,B6,N281JB,JFK
EMBRAER,1/3/2013,81,B6,N328JB,JFK
AIRBUS,1/3/2013,-56,B6,N559JB,JFK
"BOMBARDIER INC",1/3/2013,-15,9E,N602XJ,JFK
EMBRAER,1/3/2013,15,B6,N178JB,JFK
AIRBUS,1/3/2013,14,US,N541UW,JFK
AIRBUS,1/3/2013,-24,B6,N556JB,JFK
BOEING,1/3/2013,141,AA,N357AA,JFK
"BOMBARDIER INC",1/3/2013,11,9E,N602LR,JFK
BOEING,1/3/2013,-12,DL,N181DN,JFK
BOEING,1/3/2013,28,AA,N332AA,JFK
"AIRBUS INDUSTRIE",1/3/2013,-2,DL,N312US,JFK
AIRBUS,1/3/2013,1,B6,N597JB,JFK
BOEING,1/3/2013,-40,AA,N338AA,JFK
EMBRAER,1/3/2013,72,B6,N203JB,JFK
BOEING,1/3/2013,-22,DL,N3734B,JFK
BOEING,1/3/2013,10,UA,N505UA,JFK
BOEING,1/3/2013,-14,DL,N387DA,JFK
BOEING,1/3/2013,-56,DL,N3769L,JFK
BOEING,1/3/2013,-60,DL,N3768,JFK
BOEING,1/3/2013,8,DL,N3765,JFK
BOEING,1/3/2013,62,DL,N371DA,JFK
AIRBUS,1/3/2013,-36,DL,N341NB,JFK
"AIRBUS INDUSTRIE",1/3/2013,21,B6,N521JB,JFK
"AIRBUS INDUSTRIE",1/3/2013,270,DL,N338NW,JFK
BOEING,1/3/2013,-26,UA,N517UA,JFK
AIRBUS,1/3/2013,-17,B6,N592JB,JFK
EMBRAER,1/3/2013,13,B6,N307JB,JFK
EMBRAER,1/3/2013,11,B6,N273JB,JFK
"AIRBUS INDUSTRIE",1/3/2013,71,B6,N523JB,JFK
EMBRAER,1/3/2013,67,B6,N198JB,JFK
AIRBUS,1/3/2013,-32,B6,N590JB,JFK
EMBRAER,1/3/2013,45,B6,N267JB,JFK
EMBRAER,1/3/2013,150,B6,N329JB,JFK
AIRBUS,1/3/2013,-52,B6,N585JB,JFK
BOEING,1/3/2013,-52,AA,N336AA,JFK
EMBRAER,1/3/2013,6,B6,N279JB,JFK
"AIRBUS INDUSTRIE",1/3/2013,-5,B6,N524JB,JFK
"CIRRUS DESIGN CORP",1/3/2013,9,B6,N508JB,JFK
AIRBUS,1/3/2013,26,B6,N562JB,JFK
EMBRAER,1/3/2013,-7,B6,N203JB,JFK
EMBRAER,1/3/2013,49,B6,N328JB,JFK
EMBRAER,1/3/2013,13,B6,N216JB,JFK
EMBRAER,1/3/2013,25,B6,N193JB,JFK
"AIRBUS INDUSTRIE",1/3/2013,16,B6,N519JB,JFK
AIRBUS,1/4/2013,23,B6,N554JB,JFK
EMBRAER,1/4/2013,125,B6,N192JB,JFK
"AIRBUS INDUSTRIE",1/4/2013,-5,B6,N506JB,JFK
AIRBUS,1/4/2013,0,B6,N603JB,JFK
BOEING,1/4/2013,-23,UA,N557UA,JFK
AIRBUS,1/4/2013,-5,B6,N591JB,JFK
BOEING,1/4/2013,-30,UA,N19117,JFK
AIRBUS,1/4/2013,-9,B6,N599JB,JFK
"BOMBARDIER INC",1/4/2013,-4,9E,N232PQ,JFK
AIRBUS,1/4/2013,-31,US,N508AY,JFK
AIRBUS,1/4/2013,-1,B6,N583JB,JFK
"AIRBUS INDUSTRIE",1/4/2013,-10,B6,N535JB,JFK
BOEING,1/4/2013,-57,DL,N397DA,JFK
EMBRAER,1/4/2013,-2,B6,N309JB,JFK
"AIRBUS INDUSTRIE",1/4/2013,36,B6,N521JB,JFK
BOEING,1/4/2013,-36,AA,N323AA,JFK
EMBRAER,1/4/2013,3,B6,N249JB,JFK
AIRBUS,1/4/2013,3,B6,N579JB,JFK
BOEING,1/4/2013,-19,AA,N339AA,JFK
"AIRBUS INDUSTRIE",1/4/2013,-15,DL,N322US,JFK
AIRBUS,1/4/2013,16,B6,N556JB,JFK
BOEING,1/4/2013,-13,DL,N389DA,JFK
BOEING,1/4/2013,-9,DL,N308DE,JFK
EMBRAER,1/4/2013,18,B6,N203JB,JFK
AIRBUS,1/4/2013,-5,B6,N547JB,JFK
EMBRAER,1/4/2013,46,B6,N179JB,JFK
AIRBUS,1/4/2013,33,DL,N341NB,JFK
EMBRAER,1/4/2013,25,B6,N193JB,JFK
BOEING,1/4/2013,-19,UA,N34137,JFK
EMBRAER,1/4/2013,25,B6,N216JB,JFK
BOEING,1/4/2013,-10,AA,N328AA,JFK
AIRBUS,1/4/2013,-14,HA,N384HA,JFK
EMBRAER,1/4/2013,-4,B6,N353JB,JFK
EMBRAER,1/4/2013,42,B6,N265JB,JFK
AIRBUS,1/4/2013,20,B6,N569JB,JFK
"AIRBUS INDUSTRIE",1/4/2013,5,B6,N523JB,JFK
